                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9691,                 3.8944,                 1.4131,                      0,                      0,                      0,                      0,                 2.3175,                 4.5008,                 1.8878,                0.07723,                0.00023,                0.00023
                      2,                 1.4272,                 1.2688,                 1.1522,                      1,                0.15228,                0.57613,                0.40688,                 1.4105,                 5.0977,                 1.1635,               0.053468,             0.00046845,             0.00046845
                      3,                 1.3955,                 1.0188,                 1.1239,                0.94558,                0.70558,                 0.8407,                0.55522,                 1.3447,                 3.6089,                 1.1401,               0.029705,             0.00070531,             0.00070531
                      4,                 1.2992,                0.94667,                 1.1036,                0.60912,                0.94924,                0.93142,                0.61619,                 1.2992,                 2.3228,                 1.1254,              0.0059406,              0.0009406,              0.0009406
                      5,                 1.2896,                0.88995,                 1.0972,                0.80051,                0.84772,                0.92412,                0.60491,                 1.2243,                 1.1342,                 1.1332,              0.0009868,              0.0009868,              0.0009868
                      6,                 1.2584,                0.82686,                 1.0787,                 0.9392,                0.94416,                0.97524,                0.63748,                 1.2404,                0.86384,                 1.1291,              0.0009868,              0.0009868,              0.0009868
                      7,                 1.2269,                0.76471,                 1.0529,                0.97364,                0.90863,                0.97807,                0.65171,                 1.1848,                0.72399,                 1.0906,              0.0009835,              0.0009835,              0.0009835
                      8,                 1.2083,                 0.7545,                 1.0502,                0.98409,                 0.9417,                0.97982,                0.67843,                 1.1586,                0.72836,                 1.0785,              0.0009802,              0.0009802,              0.0009802
                      9,                  1.216,                0.74152,                 1.0483,                0.96578,                0.93909,                0.97405,                0.64945,                 1.1903,                  0.799,                 1.0797,              0.0009769,              0.0009769,              0.0009769
                     10,                 1.1753,                0.73343,                 1.0447,                 0.9231,                0.89848,                0.95855,                0.62643,                 1.2181,                0.79327,                 1.1455,              0.0009736,              0.0009736,              0.0009736
                     11,                 1.1838,                0.72931,                 1.0499,                0.94088,                0.90355,                0.97174,                0.65399,                 1.1736,                 0.7385,                 1.1109,              0.0009703,              0.0009703,              0.0009703
                     12,                 1.1535,                0.69314,                  1.043,                0.96821,                0.92762,                0.97576,                0.64182,                 1.1725,                0.68421,                    1.1,               0.000967,               0.000967,               0.000967
                     13,                 1.2123,                 0.7036,                 1.0653,                0.97899,                0.94597,                0.98397,                0.64388,                 1.1942,                0.68891,                 1.1107,              0.0009637,              0.0009637,              0.0009637
                     14,                 1.1761,                0.69849,                 1.0447,                0.99264,                0.92893,                0.97966,                0.63831,                 1.1727,                0.66443,                 1.1228,              0.0009604,              0.0009604,              0.0009604
                     15,                 1.1767,                0.69755,                 1.0406,                0.99465,                0.94349,                0.98643,                0.67586,                 1.1498,                0.63107,                 1.0941,              0.0009571,              0.0009571,              0.0009571
                     16,                 1.1529,                0.66228,                  1.034,                0.98874,                0.94416,                0.98949,                0.67783,                 1.1761,                0.61981,                 1.0898,              0.0009538,              0.0009538,              0.0009538
                     17,                 1.1418,                0.64593,                 1.0393,                0.97763,                0.95431,                 0.9848,                0.67395,                 1.1662,                 0.6246,                 1.0959,              0.0009505,              0.0009505,              0.0009505
                     18,                 1.1813,                0.64777,                 1.0342,                0.98011,                0.94924,                0.98421,                0.67592,                 1.1696,                0.61342,                 1.0726,              0.0009472,              0.0009472,              0.0009472
                     19,                 1.1366,                0.64107,                 1.0369,                0.98935,                 0.9431,                0.98388,                0.67415,                 1.1586,                0.59001,                 1.0795,              0.0009439,              0.0009439,              0.0009439
