                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0458,                0.63733,                 1.0393,                0.86069,                0.95906,                0.95241,                0.66817,                 1.1452,                0.59479,                 1.1666,             0.00066323,             0.00066323,             0.00066323
                      2,                0.99958,                 0.5609,                 1.0232,                0.98216,                0.97076,                0.99183,                0.69415,                 1.1321,                0.50392,                 1.1799,              0.0013233,              0.0013233,              0.0013233
                      3,                 1.0298,                0.57504,                 1.0493,                0.99742,                0.97661,                0.99165,                0.69936,                 1.0996,                0.49426,                 1.1614,              0.0019768,              0.0019768,              0.0019768
                      4,                 1.0287,                0.56135,                 1.0424,                0.98541,                0.97076,                0.98981,                0.69368,                 1.1087,                0.50759,                 1.1736,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.0567,                 0.5761,                 1.0495,                 0.9931,                0.97661,                0.99268,                0.69642,                 1.1449,                0.50764,                  1.194,              0.0019703,              0.0019703,              0.0019703
                      6,                 1.0606,                0.59524,                 1.0573,                0.96857,                0.97661,                0.97822,                0.70223,                  1.113,                0.51863,                 1.1536,              0.0019604,              0.0019604,              0.0019604
                      7,                 1.0433,                0.57211,                 1.0538,                0.98414,                0.98246,                0.99215,                0.68307,                 1.1646,                0.53999,                 1.2126,              0.0019505,              0.0019505,              0.0019505
                      8,                 1.0359,                0.56916,                 1.0519,                0.99404,                0.97506,                0.99098,                0.69283,                 1.1031,                0.50595,                 1.1715,              0.0019406,              0.0019406,              0.0019406
                      9,                 1.0777,                0.58383,                 1.0625,                0.99069,                0.97076,                0.99286,                0.68283,                 1.1462,                 0.4968,                 1.2031,              0.0019307,              0.0019307,              0.0019307
                     10,                 1.0222,                0.54917,                 1.0486,                0.99267,                0.97661,                0.99243,                0.69253,                 1.1148,                0.47249,                 1.1695,              0.0019208,              0.0019208,              0.0019208
                     11,                 1.0377,                 0.5666,                 1.0563,                0.99404,                 0.9759,                0.99142,                0.69697,                 1.1412,                0.51849,                  1.182,              0.0019109,              0.0019109,              0.0019109
                     12,                 1.0271,                0.55112,                 1.0553,                0.98816,                0.97654,                0.99356,                0.68886,                  1.144,                0.48765,                 1.1818,               0.001901,               0.001901,               0.001901
                     13,                 1.0309,                0.56796,                 1.0544,                0.98219,                0.96736,                0.99158,                0.68472,                 1.1284,                 0.5039,                 1.2015,              0.0018911,              0.0018911,              0.0018911
                     14,                 1.0651,                0.57315,                 1.0613,                0.98709,                0.97076,                0.98985,                0.69872,                 1.1239,                 0.5011,                 1.1793,              0.0018812,              0.0018812,              0.0018812
                     15,                 1.0379,                0.55785,                 1.0644,                0.98695,                0.97661,                0.98961,                 0.6986,                 1.1141,                0.50802,                 1.1802,              0.0018713,              0.0018713,              0.0018713
                     16,                 1.0288,                0.55442,                 1.0431,                0.98185,                0.97661,                0.99349,                0.69789,                 1.1234,                0.49791,                  1.175,              0.0018614,              0.0018614,              0.0018614
                     17,                 1.0317,                0.55037,                 1.0588,                0.99233,                0.97661,                0.99402,                0.69847,                 1.1463,                0.51074,                 1.1785,              0.0018515,              0.0018515,              0.0018515
                     18,                 1.0193,                0.55999,                 1.0376,                 0.9882,                0.97985,                0.99183,                0.70592,                 1.1106,                0.49137,                 1.1771,              0.0018416,              0.0018416,              0.0018416
                     19,                 1.0149,                0.54158,                 1.0438,                0.98244,                0.98152,                0.99096,                0.69575,                 1.1569,                0.49791,                 1.2049,              0.0018317,              0.0018317,              0.0018317
                     20,                 1.0034,                0.52718,                 1.0408,                0.98215,                0.98246,                0.98879,                0.70029,                 1.0971,                0.47895,                 1.1757,              0.0018218,              0.0018218,              0.0018218
                     21,                 1.0311,                0.53024,                 1.0542,                0.99408,                0.98226,                0.99014,                0.69988,                 1.1437,                 0.4754,                 1.2149,              0.0018119,              0.0018119,              0.0018119
                     22,                 1.0131,                0.53883,                 1.0458,                 0.9681,                0.97661,                0.99177,                0.69576,                 1.1697,                0.50682,                 1.2095,               0.001802,               0.001802,               0.001802
                     23,                 1.0367,                 0.5516,                 1.0338,                0.98232,                0.97501,                0.98607,                0.67632,                 1.1466,                0.50946,                 1.1828,              0.0017921,              0.0017921,              0.0017921
                     24,                 1.0192,                0.53872,                 1.0538,                0.95766,                0.97661,                0.98174,                0.68588,                 1.1358,                0.50308,                 1.1877,              0.0017822,              0.0017822,              0.0017822
                     25,                 1.0196,                0.54797,                  1.047,                0.98816,                0.97661,                0.99178,                0.69597,                 1.1348,                0.46938,                 1.1952,              0.0017723,              0.0017723,              0.0017723
                     26,                 1.0068,                0.53166,                 1.0472,                0.98677,                0.97661,                 0.9934,                0.69803,                 1.1241,                0.47172,                 1.1824,              0.0017624,              0.0017624,              0.0017624
                     27,                 1.0218,                0.52211,                 1.0586,                0.98822,                0.98157,                0.99069,                0.70118,                 1.1266,                0.48004,                  1.191,              0.0017525,              0.0017525,              0.0017525
                     28,                 1.0116,                0.54576,                 1.0589,                 0.9882,                0.97938,                0.98965,                   0.69,                 1.0954,                0.48643,                  1.171,              0.0017426,              0.0017426,              0.0017426
                     29,                0.99962,                0.54696,                  1.047,                0.98223,                0.96946,                0.98701,                0.69441,                 1.1145,                0.48665,                 1.1764,              0.0017327,              0.0017327,              0.0017327
                     30,                 1.0234,                0.53306,                 1.0412,                0.98662,                0.97076,                0.99102,                0.69206,                 1.1522,                 0.4822,                 1.1912,              0.0017228,              0.0017228,              0.0017228
                     31,                0.99183,                0.52991,                 1.0177,                0.99372,                0.97076,                0.99126,                0.71297,                 1.1113,                0.47462,                 1.1717,              0.0017129,              0.0017129,              0.0017129
                     32,                0.98747,                0.52764,                 1.0362,                0.98752,                0.98246,                0.99357,                0.69563,                 1.1277,                0.48948,                 1.1866,               0.001703,               0.001703,               0.001703
                     33,                0.97983,                0.52815,                 1.0441,                0.97025,                0.97661,                0.99235,                 0.7039,                 1.1082,                0.48537,                 1.1832,              0.0016931,              0.0016931,              0.0016931
                     34,                0.99117,                0.53143,                 1.0389,                0.98823,                0.98222,                0.99268,                0.70033,                  1.105,                0.47444,                 1.1808,              0.0016832,              0.0016832,              0.0016832
                     35,                0.98805,                0.51521,                 1.0433,                 0.9918,                0.97661,                0.99215,                0.69456,                 1.1194,                0.47009,                 1.1786,              0.0016733,              0.0016733,              0.0016733
                     36,                0.99088,                0.51549,                 1.0469,                0.98227,                0.97198,                0.98635,                0.69735,                 1.1407,                0.50082,                 1.1889,              0.0016634,              0.0016634,              0.0016634
                     37,                0.98141,                0.52664,                 1.0278,                0.98977,                0.97661,                0.99208,                0.66995,                 1.1651,                0.51108,                 1.2021,              0.0016535,              0.0016535,              0.0016535
                     38,                0.96983,                0.52555,                 1.0387,                0.98706,                0.97076,                0.99159,                0.67668,                 1.1524,                0.49787,                 1.2095,              0.0016436,              0.0016436,              0.0016436
                     39,                0.98217,                0.52099,                 1.0401,                0.98231,                0.97397,                0.98989,                0.69539,                  1.134,                0.47963,                 1.1978,              0.0016337,              0.0016337,              0.0016337
                     40,                0.99882,                0.53695,                 1.0428,                0.98754,                0.98246,                0.99205,                0.69719,                 1.1201,                0.47463,                 1.1793,              0.0016238,              0.0016238,              0.0016238
                     41,                0.98496,                0.52511,                 1.0253,                0.98623,                0.97661,                 0.9933,                0.70668,                 1.0817,                0.46625,                 1.1592,              0.0016139,              0.0016139,              0.0016139
                     42,                0.95215,                0.50329,                 1.0095,                0.99337,                0.98246,                0.99401,                0.71318,                 1.1029,                0.45308,                 1.1806,               0.001604,               0.001604,               0.001604
                     43,                0.96001,                0.52159,                 1.0307,                0.98167,                0.97661,                0.98825,                0.69549,                 1.1219,                0.46654,                 1.1755,              0.0015941,              0.0015941,              0.0015941
                     44,                0.95387,                0.51099,                  1.016,                0.98566,                0.97076,                0.98946,                0.70199,                  1.095,                0.47392,                 1.1773,              0.0015842,              0.0015842,              0.0015842
                     45,                0.94705,                0.49957,                   1.02,                0.99407,                0.98036,                0.99255,                0.69463,                 1.1239,                0.48204,                 1.1746,              0.0015743,              0.0015743,              0.0015743
                     46,                0.93539,                0.50325,                  1.018,                0.99344,                0.97661,                0.99052,                0.70025,                 1.1163,                0.46664,                 1.1756,              0.0015644,              0.0015644,              0.0015644
